ZIP CODE,HUD Area Code,HUD Metro Fair Market Rent Area Name,SAFMR 0BR,SAFMR 0BR - 90% Payment Standard,SAFMR 0BR - 110% Payment Standard,SAFMR 1BR,SAFMR 1BR - 90% Payment Standard,SAFMR 1BR - 110% Payment Standard,SAFMR 2BR,SAFMR 2BR - 90% Payment Standard,SAFMR 2BR - 110% Payment Standard,SAFMR 3BR,SAFMR 3BR - 90% Payment Standard,SAFMR 3BR - 110% Payment Standard,SAFMR 4BR,SAFMR 4BR - 90% Payment Standard,SAFMR 4BR - 110% Payment Standard
"76437","METRO10180M10180","Abilene, TX MSA","","","","","","","","","","","","","","",""
"76443","METRO10180M10180","Abilene, TX MSA","","","","","","","","","","","","","","",""
"76464","METRO10180M10180","Abilene, TX MSA","","","","","","","","","","","","","","",""
"76469","METRO10180M10180","Abilene, TX MSA","","","","","","","","","","","","","","",""
"79501","METRO10180M10180","Abilene, TX MSA","","","","","","","","","","","","","","",""
"79503","METRO10180M10180","Abilene, TX MSA","","","","","","","","","","","","","","",""
"79504","METRO10180M10180","Abilene, TX MSA","","","","","","","","","","","","","","",""
"79508","METRO10180M10180","Abilene, TX MSA","","","","","","","","","","","","","","",""
"79510","METRO10180M10180","Abilene, TX MSA","","","","","","","","","","","","","","",""
"79519","METRO10180M10180","Abilene, TX MSA","","","","","","","","","","","","","","",""
"79520","METRO10180M10180","Abilene, TX MSA","","","","","","","","","","","","","","",""
"79521","METRO10180M10180","Abilene, TX MSA","","","","","","","","","","","","","","",""
"79525","METRO10180M10180","Abilene, TX MSA","","","","","","","","","","","","","","",""
"79530","METRO10180M10180","Abilene, TX MSA","","","","","","","","","","","","","","",""
"79533","METRO10180M10180","Abilene, TX MSA","","","","","","","","","","","","","","",""
"79536","METRO10180M10180","Abilene, TX MSA","","","","","","","","","","","","","","",""
"79541","METRO10180M10180","Abilene, TX MSA","","","","","","","","","","","","","","",""
"79553","METRO10180M10180","Abilene, TX MSA","","","","","","","","","","","","","","",""
"79560","METRO10180M10180","Abilene, TX MSA","","","","","","","","","","","","","","",""
"79561","METRO10180M10180","Abilene, TX MSA","","","","","","","","","","","","","","",""
"79562","METRO10180M10180","Abilene, TX MSA","","","","","","","","","","","","","","",""
"79563","METRO10180M10180","Abilene, TX MSA","","","","","","","","","","","","","","",""
"79566","METRO10180M10180","Abilene, TX MSA","","","","","","","","","","","","","","",""
"79567","METRO10180M10180","Abilene, TX MSA","","","","","","","","","","","","","","",""
"79601","METRO10180M10180","Abilene, TX MSA","","","","","","","","","","","","","","",""
"79602","METRO10180M10180","Abilene, TX MSA","","","","","","","","","","","","","","",""
"79603","METRO10180M10180","Abilene, TX MSA","","","","","","","","","","","","","","",""
"79604","METRO10180M10180","Abilene, TX MSA","","","","","","","","","","","","","","",""
"79605","METRO10180M10180","Abilene, TX MSA","","","","","","","","","","","","","","",""
"79606","METRO10180M10180","Abilene, TX MSA","","","","","","","","","","","","","","",""
"79607","METRO10180M10180","Abilene, TX MSA","","","","","","","","","","","","","","",""
"79608","METRO10180M10180","Abilene, TX MSA","","","","","","","","","","","","","","",""
"79699","METRO10180M10180","Abilene, TX MSA","","","","","","","","","","","","","","",""
"00601","METRO10380M10380","Aguadilla-Isabela, PR MSA","","","","","","","","","","","","","","",""
"00602","METRO10380M10380","Aguadilla-Isabela, PR MSA","","","","","","","","","","","","","","",""
"00603","METRO10380M10380","Aguadilla-Isabela, PR MSA","","","","","","","","","","","","","","",""
"00604","METRO10380M10380","Aguadilla-Isabela, PR MSA","","","","","","","","","","","","","","",""
"00605","METRO10380M10380","Aguadilla-Isabela, PR MSA","","","","","","","","","","","","","","",""
"00610","METRO10380M10380","Aguadilla-Isabela, PR MSA","","","","","","","","","","","","","","",""
"00611","METRO10380M10380","Aguadilla-Isabela, PR MSA","","","","","","","","","","","","","","",""
"00612","METRO10380M10380","Aguadilla-Isabela, PR MSA","","","","","","","","","","","","","","",""
"00631","METRO10380M10380","Aguadilla-Isabela, PR MSA","","","","","","","","","","","","","","",""
"00641","METRO10380M10380","Aguadilla-Isabela, PR MSA","","","","","","","","","","","","","","",""
"00650","METRO10380M10380","Aguadilla-Isabela, PR MSA","","","","","","","","","","","","","","",""
"00662","METRO10380M10380","Aguadilla-Isabela, PR MSA","","","","","","","","","","","","","","",""
"00664","METRO10380M10380","Aguadilla-Isabela, PR MSA","","","","","","","","","","","","","","",""
"00669","METRO10380M10380","Aguadilla-Isabela, PR MSA","","","","","","","","","","","","","","",""
"00670","METRO10380M10380","Aguadilla-Isabela, PR MSA","","","","","","","","","","","","","","",""
"00676","METRO10380M10380","Aguadilla-Isabela, PR MSA","","","","","","","","","","","","","","",""
"00677","METRO10380M10380","Aguadilla-Isabela, PR MSA","","","","","","","","","","","","","","",""
"00678","METRO10380M10380","Aguadilla-Isabela, PR MSA","","","","","","","","","","","","","","",""
"00680","METRO10380M10380","Aguadilla-Isabela, PR MSA","","","","","","","","","","","","","","",""
"00685","METRO10380M10380","Aguadilla-Isabela, PR MSA","","","","","","","","","","","","","","",""
"00690","METRO10380M10380","Aguadilla-Isabela, PR MSA","","","","","","","","","","","","","","",""
"44056","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44067","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44087","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44141","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44201","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44202","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44203","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44210","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44211","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44216","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44221","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44222","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44223","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44224","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44230","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44231","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44232","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44234","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44236","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44240","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44241","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44242","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44243","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44250","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44255","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44256","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44260","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44262","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44264","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44265","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44266","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44272","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44278","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44281","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44285","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44286","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44288","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44301","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44302","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44303","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44304","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44305","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44306","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44307","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44308","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44309","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44310","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44311","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44312","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44313","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44314","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44316","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44319","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44320","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44321","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44325","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44333","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44334","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44411","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44412","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44429","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44444","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44449","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44470","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44491","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44601","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44614","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44632","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44645","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44685","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"44720","METRO10420M10420","Akron, OH MSA","","","","","","","","","","","","","","",""
"31701","METRO10500M10500","Albany, GA MSA","","","","","","","","","","","","","","",""
"31702","METRO10500M10500","Albany, GA MSA","","","","","","","","","","","","","","",""
"31703","METRO10500M10500","Albany, GA MSA","","","","","","","","","","","","","","",""
"31704","METRO10500M10500","Albany, GA MSA","","","","","","","","","","","","","","",""
"31705","METRO10500M10500","Albany, GA MSA","","","","","","","","","","","","","","",""
"31706","METRO10500M10500","Albany, GA MSA","","","","","","","","","","","","","","",""
"31707","METRO10500M10500","Albany, GA MSA","","","","","","","","","","","","","","",""
"31708","METRO10500M10500","Albany, GA MSA","","","","","","","","","","","","","","",""
"31712","METRO10500M10500","Albany, GA MSA","","","","","","","","","","","","","","",""
"31714","METRO10500M10500","Albany, GA MSA","","","","","","","","","","","","","","",""
"31721","METRO10500M10500","Albany, GA MSA","","","","","","","","","","","","","","",""
"31743","METRO10500M10500","Albany, GA MSA","","","","","","","","","","","","","","",""
"31744","METRO10500M10500","Albany, GA MSA","","","","","","","","","","","","","","",""
